央视直播,#genre#
CCTV10,http://111.59.23.170:65045/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://111.59.23.170:65044/cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
CCTV12,http://111.59.23.170:65044/cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226013/index.m3u8
CCTV12,http://111.59.23.170:65045/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://111.59.23.170:65044/cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221226046/index.m3u8
CCTV13,http://111.59.23.170:65045/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV13,http://111.59.23.170:65045/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://111.59.23.170:65045/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://111.59.23.170:65045/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV15,http://111.59.23.170:65045/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV16,http://111.59.23.170:65044/cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225956/index.m3u8
CCTV17,http://111.59.23.170:65045/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV-1高清,http://www.recker.cc:4022/udp/239.77.1.17:5146
CCTV-1高清,http://www.recker.cc:4022/udp/239.77.1.144:5146
CCTV-1高清,http://www.recker.cc:4022/udp/239.77.0.86:5146
CCTV-1超清,http://www.recker.cc:4022/udp/239.77.0.129:5146
CCTV-2高清,http://www.recker.cc:4022/udp/239.77.1.158:5146
CCTV-2高清 (CAVS),http://www.recker.cc:4022/udp/239.253.43.17:5146
CCTV-2高清,http://www.recker.cc:4022/udp/239.77.0.137:5146
CCTV-3高清,http://www.recker.cc:4022/udp/239.77.0.169:5146
CCTV-3超清,http://www.recker.cc:4022/udp/239.77.0.175:5146
CCTV-4高清,http://www.recker.cc:4022/udp/239.77.1.163:5146
CCTV-4高清,http://www.recker.cc:4022/udp/239.77.1.166:5146
CCTV-4高清,http://www.recker.cc:4022/udp/239.77.0.78:5146
CCTV-5高清,http://www.recker.cc:4022/udp/239.77.0.170:5146
CCTV-5超清,http://www.recker.cc:4022/udp/239.77.0.177:5146
CCTV-5+高清,http://www.recker.cc:4022/udp/239.77.0.87:5146
CCTV-5+高清,http://www.recker.cc:4022/udp/239.77.1.31:5146
CCTV-5+高清,http://www.recker.cc:4022/udp/239.77.1.147:5146
CCTV-6高清,http://www.recker.cc:4022/udp/239.77.0.171:5146
CCTV-6超清 (CAVS),http://www.recker.cc:4022/udp/239.77.0.178:5146
CCTV-7高清,http://www.recker.cc:4022/udp/239.77.1.159:5146
CCTV-7高清 (CAVS),http://www.recker.cc:4022/udp/239.77.1.167:5146
CCTV-7高清测试,http://www.recker.cc:4022/udp/239.77.0.138:5146
CCTV-8高清,http://www.recker.cc:4022/udp/239.77.0.172:5146
CCTV-8超清 (CAVS),http://www.recker.cc:4022/udp/239.77.0.181:5146
CCTV-9高清,http://www.recker.cc:4022/udp/239.77.1.160:5146
CCTV-9高清 (CAVS),http://www.recker.cc:4022/udp/239.77.1.168:5146
CCTV-9高清测试,http://www.recker.cc:4022/udp/239.77.0.135:5146
CCTV-10高清,http://www.recker.cc:4022/udp/239.77.1.113:5146
CCTV-10高清 (CAVS),http://www.recker.cc:4022/udp/239.77.1.169:5146
CCTV-10高清测试,http://www.recker.cc:4022/udp/239.77.0.134:5146
CCTV-11高清,http://www.recker.cc:4022/udp/239.77.1.238:5146
CCTV-12高清,http://www.recker.cc:4022/udp/239.77.1.109:5146
CCTV-12高清 (CAVS),http://www.recker.cc:4022/udp/239.77.1.170:5146
CCTV-12高清测试,http://www.recker.cc:4022/udp/239.77.0.136:5146
CCTV-13高清,http://www.recker.cc:4022/udp/239.77.0.188:5146
CCTV-13高清,http://www.recker.cc:4022/udp/239.253.43.196:5146
CCTV-14高清,http://www.recker.cc:4022/udp/239.77.1.161:5146
CCTV-14高清 (CAVS),http://www.recker.cc:4022/udp/239.77.1.171:5146
CCTV-14高清测试,http://www.recker.cc:4022/udp/239.77.0.133:5146
CCTV-15高清,http://www.recker.cc:4022/udp/239.77.1.239:5146
CCTV-16高清,http://www.recker.cc:4022/udp/239.77.0.165:5146
CCTV-16高清,http://www.recker.cc:4022/udp/239.77.1.76:5146
CCTV-16 4K,http://www.recker.cc:4022/udp/239.77.1.98:5146
CCTV-17高清,http://www.recker.cc:4022/udp/239.77.1.121:5146
CCTV-17农业高清,http://www.recker.cc:4022/udp/239.77.0.198:5146


CCTV-5HD,http://eastscreen.tv/cctv5hd.php
凤凰资讯,http://eastscreen.tv/fhzx.php
湖南卫视,http://eastscreen.tv/hnwshd.php

CCTV1-综合,http://gouwu.pthv.gitv.tv:91/live/CCTV1-1500k/live.m3u8
CCTV1-综合,http://gouwu.pthv.gitv.tv:91/live/CCTV1hd-8M/live.m3u8
CCTV2-财经,http://gouwu.pthv.gitv.tv:91/live/CCTV2-1500k/live.m3u8
CCTV2-财经,http://gouwu.pthv.gitv.tv:91/live/CCTV2hd-8M/live.m3u8
CCTV3-综艺,http://gouwu.pthv.gitv.tv:91/live/CCTV3-1500k/live.m3u8
CCTV3-综艺,http://gouwu.pthv.gitv.tv:91/live/CCTV3hd-8M/live.m3u8
CCTV4-中文国际,http://gouwu.pthv.gitv.tv:91/live/CCTV4-1500k/live.m3u8
CCTV4-中文国际,http://gouwu.pthv.gitv.tv:91/live/CCTV4hd-8M/live.m3u8
CCTV5-体育,http://gouwu.pthv.gitv.tv:91/live/CCTV5-1500k/live.m3u8
CCTV5-体育,http://gouwu.pthv.gitv.tv:91/live/CCTV5hd-8M/live.m3u8
CCTV5+体育赛事,http://gouwu.pthv.gitv.tv:91/live/CCTV5+hd-8M/live.m3u8
CCTV6-电影,http://gouwu.pthv.gitv.tv:91/live/CCTV6-1500k/live.m3u8
CCTV6-电影,http://gouwu.pthv.gitv.tv:91/live/CCTV6hd-8M/live.m3u8
CCTV7-国防军事,http://gouwu.pthv.gitv.tv:91/live/CCTV7-1500k/live.m3u8
CCTV7-国防军事,http://gouwu.pthv.gitv.tv:91/live/CCTV7hd-8M/live.m3u8
CCTV8-电视剧,http://gouwu.pthv.gitv.tv:91/live/CCTV8-1500k/live.m3u8
CCTV8-电视剧,http://gouwu.pthv.gitv.tv:91/live/CCTV8hd-8M/live.m3u8
CCTV9-纪录,http://gouwu.pthv.gitv.tv:91/live/CCTV9-1500k/live.m3u8
CCTV9-纪录,http://gouwu.pthv.gitv.tv:91/live/CCTV9hd-8M/live.m3u8
CCTV10-科教,http://gouwu.pthv.gitv.tv:91/live/CCTV10-1500k/live.m3u8
CCTV10-科教,http://gouwu.pthv.gitv.tv:91/live/CCTV10hd-8M/live.m3u8
CCTV11-戏曲,http://gouwu.pthv.gitv.tv:91/live/CCTV11-1500k/live.m3u8
CCTV11-戏曲,http://gouwu.pthv.gitv.tv:91/live/CCTV11hd-8M/live.m3u8
CCTV12-社会与法,http://gouwu.pthv.gitv.tv:91/live/CCTV12-1500k/live.m3u8
CCTV12-社会与法,http://gouwu.pthv.gitv.tv:91/live/CCTV12hd-8M/live.m3u8
CCTV13-新闻,http://gouwu.pthv.gitv.tv:91/live/CCTV13-1500k/live.m3u8
CCTV13-新闻,http://gouwu.pthv.gitv.tv:91/live/CCTV13hd-8M/live.m3u8
CCTV14-少儿,http://gouwu.pthv.gitv.tv:91/live/CCTV14-1500k/live.m3u8
CCTV14-少儿,http://gouwu.pthv.gitv.tv:91/live/CCTV14hd-8M/live.m3u8
CCTV15-音乐,http://gouwu.pthv.gitv.tv:91/live/CCTV15-1500k/live.m3u8
CCTV15-音乐,http://gouwu.pthv.gitv.tv:91/live/CCTV15hd-8M/live.m3u8
CCTV16-奥林匹克,http://gouwu.pthv.gitv.tv:91/live/CCTV16hd-8M/live.m3u8
CCTV17-农业农村,http://gouwu.pthv.gitv.tv:91/live/CCTV17-1500k/live.m3u8
CCTV17-农业农村,http://gouwu.pthv.gitv.tv:91/live/CCTV17hd-8M/live.m3u8


广东频道,#genre#
广东珠江,http://111.59.23.170:65044/cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
广东珠江,http://61.146.224.42:8088/hls/2/index.m3u8
珠江高清,http://wenxind.top:9999/udp/239.77.0.1:5146
珠江超清,http://wenxind.top:9999/udp/239.77.0.114:5146
广东珠江,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel65/index.m3u8
广东卫视高清,http://a.ifsift.cn:8888/udp/239.77.1.19:5146
广东卫视高清,http://a.ifsift.cn:8888/udp/239.77.1.152:5146
广东卫视高清,http://a.ifsift.cn:8888/udp/239.77.0.84:5146
广东卫视超清,http://a.ifsift.cn:8888/udp/239.77.0.166:5146
广东珠江高清,http://a.ifsift.cn:8888/udp/239.77.0.1:5146
广东珠江超清,http://a.ifsift.cn:8888/udp/239.77.0.114:5146
广东新闻高清,http://a.ifsift.cn:8888/udp/239.77.0.173:5146
广东民生高清,http://a.ifsift.cn:8888/udp/239.77.0.225:5146
广东体育高清,http://a.ifsift.cn:8888/udp/239.77.0.112:5146
广东体育超清,http://a.ifsift.cn:8888/udp/239.77.0.168:5146
广东珠江,http://111.59.23.170:65044/cdnrrs.gx.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
广东卫视高清,http://www.recker.cc:4022/udp/239.77.1.19:5146
广东卫视高清,http://www.recker.cc:4022/udp/239.77.1.152:5146
广东卫视高清,http://www.recker.cc:4022/udp/239.77.0.84:5146
广东卫视超清,http://www.recker.cc:4022/udp/239.77.0.166:5146
广东珠江高清,http://www.recker.cc:4022/udp/239.77.0.1:5146
广东珠江超清,http://www.recker.cc:4022/udp/239.77.0.114:5146
广东新闻高清,http://www.recker.cc:4022/udp/239.77.0.173:5146
广东民生高清,http://www.recker.cc:4022/udp/239.77.0.225:5146
广东体育高清测试,http://www.recker.cc:4022/udp/239.77.0.112:5146
广东体育超清,http://www.recker.cc:4022/udp/239.77.0.168:5146
经济科教高清,http://www.recker.cc:4022/udp/239.77.0.85:5146
经济科教超清,http://www.recker.cc:4022/udp/239.77.0.167:5146
大湾区卫视高清,http://www.recker.cc:4022/udp/239.77.0.215:5146
广东影视高清,http://www.recker.cc:4022/udp/239.77.0.217:5146
广东少儿高清,http://www.recker.cc:4022/udp/239.77.0.250:5146
嘉佳卡通高清,http://www.recker.cc:4022/udp/239.77.0.179:5146
岭南戏曲,http://www.recker.cc:4022/udp/239.77.0.16:5146
广东|广东珠江,http://120.76.248.139/live/otvgd/65.m3u8?bt=1300
广东|广东民生,http://120.76.248.139/live/otvgd/45.m3u8?bt=1300
广东新闻高清,http://sslsz.oceaniwork.com:4022/udp/239.77.0.173:5146
广东民生高清,http://sslsz.oceaniwork.com:4022/udp/239.77.0.225:5146
广东体育高清,http://sslsz.oceaniwork.com:4022/udp/239.77.0.112:5146
广东体育超清,http://sslsz.oceaniwork.com:4022/udp/239.77.0.168:5146
广东新闻高清,http://www.recker.cc:4022/udp/239.77.0.173:5146
广东民生高清,http://www.recker.cc:4022/udp/239.77.0.225:5146
广东|广东体育,http://120.76.248.139/live/otvgd/34.m3u8?bt=2300
广东|广东体育,http://120.76.248.139/live/otvgd/34.m3u8?bt=1300
大湾区卫视高清,http://www.recker.cc:4022/udp/239.77.0.215:5146
广东影视高清,http://www.recker.cc:4022/udp/239.77.0.217:5146
广东少儿高清,http://www.recker.cc:4022/udp/239.77.0.250:5146
嘉佳卡通高清,http://www.recker.cc:4022/udp/239.77.0.179:5146
大湾区卫视高清,http://sslsz.oceaniwork.com:4022/udp/239.77.0.215:5146
广东影视高清,http://sslsz.oceaniwork.com:4022/udp/239.77.0.217:5146
广东少儿高清,http://sslsz.oceaniwork.com:4022/udp/239.77.0.250:5146
嘉佳卡通高清,http://sslsz.oceaniwork.com:4022/udp/239.77.0.179:5146
广东|蛇口综合,http://120.76.248.139/live/otvgd/37.m3u8?bt=1300
广东|深圳都市,http://120.76.248.139/live/otvgd/46.m3u8?bt=1300
